"baslik-tr","baslik-de","yazi-tr","yazi-de","secimYazi-tr","secimYazi-de","sonucYazi-tr-Duru","sonucYazi-tr-Dedde","sonucYazi-de"
"ÖNÜNE BİR HAYVAN ÇIKTI","","KARŞINA ÇIKAN HAYVAN HANGİSİYDİ?","","KUZU","","Gördüğün hayvan senin karakterini yansıtıyor. Sen kuzu gördün ve bu senin kuzu olduğunu gösterir.","Sempatik ve sevimli oluşunu korkaklık olarak algılıyorlar. Uysallığını suiistimal edenlerin fırtınanın göbeğinde olmanın ne demek olduğunu anlamaları uzun sürmez. Aptalmış gibi yapmayı seviyorsun. Kendini akıllı zanneden aptalları izlemek zevkli sonuçta.",""
"ÖNÜNE BİR HAYVAN ÇIKTI","","KARŞINA ÇIKAN HAYVAN HANGİSİYDİ?","","HİPOPOTAM","","Gördüğün hayvan senin karakterini yansıtıyor. Sen hipopotam gördün ve bu senin hipopotam olduğunu gösterir.","NULL",""
"ONA BAK VE SÖYLE ","","BU HAYVANA BAKTIĞINDA NASIL HİSSETTİRİYOR?","","İYİ","","Ve onu görmek sana iyi hissettirdi. Bu kendini sevdiğini gösterir.","Kendinle yüzleşmeyi seviyorsun. Korkmuyorsun. Evet bu benim. Benim bu. Seni mükemmel kılan şey bu. Eksiklik veya fazlalıklarını biliyorsun. ",""
"ONA BAK VE SÖYLE ","","BU HAYVANA BAKTIĞINDA NASIL HİSSETTİRİYOR?","","KÖTÜ","","Ve onu görmek sana kötü hissettirdi. Bu kendinle sorun yaşadığını gösterir.","Kendinden kaçıyorsun. Yüzleşmekten çekiniyorsun. Eleştirilmeyi kaldıramıyorsun. Kendine haksızlık etmemelisin ama kendinle yüzleşmekten de kaçmamalısın.",""
"ONA BAK VE SÖYLE ","","BU HAYVANA BAKTIĞINDA NASIL HİSSETTİRİYOR?","","NORMAL","","Ve onu görmek sana normal hissettirdi. Bu kendinin farkında olduğunu gösterir.","Kendinle yüzleşmekten korkmuyorsun. Ama hani aynaya çok bakmasam veya eleştirilmesem daha iyi olur diyorsun.",""
"YOLUNA DEVAM EDİYORSUN","","KARŞINA BEYAZ BİR KAPI ÇIKTI<br>BU KAPININ BOYUTU NE KADAR?","","BÜYÜK","","Karşına çıkan beyaz kapı umut kapısıydı. Kapıyı büyük görmen, umutlarının büyük olduğunu gösterir.","Şu umudundan dünyaya da versen daha yaşanılabilir bir yer olurdu. Her şeye rağmen ümitlisin. Bir dünya barışının olabileceğinden bile ümitlisin. ",""
"YOLUNA DEVAM EDİYORSUN","","KARŞINA BEYAZ BİR KAPI ÇIKTI<br>BU KAPININ BOYUTU NE KADAR?","","NORMAL","","Karşına çıkan beyaz kapı umut kapısıydı. Kapıyı normal görmen, umutlarının normal olduğunu gösterir.","Ümitlisin ama gerçekleri ve koşulları göz ardı etmeyecek kadar da mantıklı. Kesinlikle bir hayalperest değilsin ama biraz hayal etmekten de bir şey olmaz diyorsun. ",""
"YOLUNA DEVAM EDİYORSUN","","KARŞINA BEYAZ BİR KAPI ÇIKTI<br>BU KAPININ BOYUTU NE KADAR?","","KÜÇÜK","","Karşına çıkan beyaz kapı umut kapısıydı. Kapıyı küçük görmen, umutlarının küçük olduğunu gösterir.","Bu kadar ümitsiz olman zamanında ümit ettiğin şeylerin sana koca bir nanik yapmış olmasından olsa gerek.  Amerika’nın demokrasi getirmesini bekleme **. Ama sürprizleri de yadsıma.",""
"KAPIYA BAK VE SÖYLE","","BU KAPI SANA NASIL HİSSETTİRİYOR?","","İYİ","","Umuda karşı iyi hislere sahipsin.","İyi veya kötü, güzel veya çirkin kararlısın. İkilemde kalmıyorsun. En kötü karar bile kararsızlıktan iyidir diyorsun. Ümit etmekten de vazgeçmiyorsun.",""
"KAPIYA BAK VE SÖYLE","","BU KAPI SANA NASIL HİSSETTİRİYOR?","","KÖTÜ","","Umuda karşı kötü hislere sahipsin.","Gerçekten yapmak istediğin ile hissettiğin şey hep çelişiyor. Kararsızsın. Nasıl davranacağını bilmiyorsun. Ümit etmenin saçma olduğunu düşünmek dışında.",""
"KAPIYA BAK VE SÖYLE","","BU KAPI SANA NASIL HİSSETTİRİYOR?","","NORMAL","","Umuda karşı normal hislere sahipsin.","O kadar olgunsun ki herşeye büyük bir olgunlukla yaklaşıyorsun. ",""
" ","","BU KAPIDAN İÇERİ GİRMEK İSTİYOR MUSUN?","","EVET","","Ve sen bu kapıdan geçmek istedin. Bu da umuda açık olduğunu gösterir.","Yeni şeyler görmek, öğrenmek seni cezbediyor. Bu sende dinmeyen bir susuzluk gibi. Meraklısın. Ve yeni şeylere açsın. Sonsuz bir umudun var. Hiç kurumayacak bir nehir gibi.",""
" ","","BU KAPIDAN İÇERİ GİRMEK İSTİYOR MUSUN?","","HAYIR","","Ve sen bu kapıdan geçmek istemedin. Bu da umuda kapalı olduğunu gösterir.","Rasyonelsin. Hem çilekten muz tadı almaya çalışmak saçmalık. Ümit etmek, boş beklentilere kapılmak istemiyorsun. Beklentiyi az tutmak başa çıkmaları durumunda acıyı hafifletir. Hem ormandaki bir kapının önünde ne varsa arkasında da o vardır.",""
"YÜRÜMEYE DEVAM EDİYORSUN","","BU SEFER KARŞINA KIRMIZI BİR KAPI ÇIKIYOR<br>BU KAPININ BOYUTU NE KADAR?","","BÜYÜK","","Kırmızı kapı aşk kapısıydı. Kapıyı büyük görmen, aşkın senin için değerinin büyük olduğunu gösterir.","Eros’un dünyadaki varisisin. Sen tam bir aşk insanısın. Tutkulu ve duygusalsın. Her şeyi tutkuyla yapıyorsun. Sevmeyi de nefret etmeyi de. Tutku senin ölçütün. ",""
"YÜRÜMEYE DEVAM EDİYORSUN","","BU SEFER KARŞINA KIRMIZI BİR KAPI ÇIKIYOR<br>BU KAPININ BOYUTU NE KADAR?","","KÜÇÜK","","Kırmızı kapı aşk kapısıydı. Kapıyı küçük görmen, aşkın senin için değerinin küçük olduğunu gösterir.","Eros’un “fail” i sen olmalısın. Duygusallığın mantığı körelttiğini düşünüyorsun. Duygusallık mantığın düşmanı. Özel hayatında (sevgili, arkadaş) ilişkilerinde mantık senin ölçütün. ",""
"YÜRÜMEYE DEVAM EDİYORSUN","","BU SEFER KARŞINA KIRMIZI BİR KAPI ÇIKIYOR<br>BU KAPININ BOYUTU NE KADAR?","","NORMAL","","Kırmızı kapı aşk kapısıydı. Kapıyı normal görmen, aşkın senin için değerinin normal olduğunu gösterir.","Mantığı duygularınla, duygularını mantıkla destekliyorsun. İkisi de tek başlarına hata yaptırır diye düşünüyorsun. Düzeni, standartları olan uçlarda yaşamayan bir insansın. ",""
"KAPIYA BAKTIĞINDA","","BU KAPI SANA NASIL HİSSETTİRİYOR?","","İYİ","","Aşka karşı iyi hislere sahipsin.","Romeo da kim senin yanında? (sonun onun gibi olmasın) Aşktan yana şanslısın. Sevmeyi istiyorsun. Yaptığın en iyi şey güzel sevmek. Senin gibisini bulmak zor bu zamanda. ",""
"KAPIYA BAKTIĞINDA","","BU KAPI SANA NASIL HİSSETTİRİYOR?","","KÖTÜ","","Aşka karşı kötü hislere sahipsin.","Hep olmadık insanlar çıkmış karşına. Ya yanlış insanı doğru sevmişsin, yada doğru insanı yanlış sevmişsin. Bıktırmışlar seni. ",""
"KAPIYA BAKTIĞINDA","","BU KAPI SANA NASIL HİSSETTİRİYOR?","","NORMAL","","Aşka karşı normal hislere sahipsin.","Her şeyi olduğu gibi, aşkı da sevmeyi de olgunlukla karşılıyorsun. Olması gereken oldu bitmesi gerektiğinde de bitti diyorsun.  ",""
" ","","BU KAPIDAN İÇERİ GİRMEK İSTİYOR MUSUN?","","EVET","","Ve sen bu kapıdan geçmek istedin. Bu da aşka açık olduğunu gösterir.","Aşk tutkun dünya döndükçe baki kalacak. Sen sevmeyi seviyorsun. Tutkuyla. Hiçbir şey seni tutkuyla sevmekten alıkoyamaz. Sevmeyi bildikten sonra sevilecek birini bulmak kolay. Senin tarafından sevilmek ayrıcalık. ",""
" ","","BU KAPIDAN İÇERİ GİRMEK İSTİYOR MUSUN?","","HAYIR","","Ve sen bu kapıdan geçmek istemedin. Bu da aşka kapalı olduğunu gösterir."," Hepsinin sonu Romeo gibi olacak diyorsun. Juliet’ten başka kız mı yoktu? Kapattık dükkanı diyorsun. Çok kırmışlar seni. Hatta paramparça etmişler. ",""
"YÜRÜMEYE DEVAM EDİYORSUN","","BU SEFER DE SİYAH BİR KAPI ÇIKIYOR KARŞINA<br>KAPININ BOYUTU NE KADAR?","","BÜYÜK","","Siyah kapı ölüm kapısıydı. Kapıyı büyük görmen ölümün senin için ne kadar büyük olduğunu gösteriyor.","Ölüm hayatının her anında. Onu düşünmediğin anlar pek az. Hatta çoğu zaman seni karamsarlığa itiyor. ",""
"YÜRÜMEYE DEVAM EDİYORSUN","","BU SEFER DE SİYAH BİR KAPI ÇIKIYOR KARŞINA<br>KAPININ BOYUTU NE KADAR?","","KÜÇÜK","","Siyah kapı ölüm kapısıydı. Kapıyı küçük görmen ölümün senin için ne kadar küçük olduğunu gösteriyor.","Ölüm mü? Daha değil. Yapacak bir sürü şey var. Bir sürü planın var. Ve bunların arasında ölüm yok. ",""
"YÜRÜMEYE DEVAM EDİYORSUN","","BU SEFER DE SİYAH BİR KAPI ÇIKIYOR KARŞINA<br>KAPININ BOYUTU NE KADAR?","","NORMAL","","Siyah kapı ölüm kapısıydı. Kapıyı normal görmen ölümün senin için ne kadar normal olduğunu gösteriyor.","Her canlı ölümü tadacaktır. Ama şimdiden durup kendi yasını tutmanın bir anlamı yok.",""
"KAPIYA BAKTIĞINDA","","SANA NASIL HİSSETTİRİYOR?","","İYİ","","Ölüme karşı iyi hislere sahipsin.","Hayatı tam manasıyla olmasada yaşadığını düşünüyorsun. Öleceğini inkar etmeden, yapmak istediği şeyleri yaparak, buradaki sorumlulukları yerine getirdikten sonra ölümün kaçınılmaz son olduğunu düşünüyorsun. Ona göre yaşadın ve yaşıyorsun. ",""
"KAPIYA BAKTIĞINDA","","SANA NASIL HİSSETTİRİYOR?","","KÖTÜ","","Ölüme karşı kötü hislere sahipsin.","İçinde henüz bir sürü şeyi yarım bırakmışlığın tedirginliği var. Ölümden korkmuyorsun. İşlerini erteliyorsun. İlişkilerini. Bu yüzden 100 yaşına da gelsen her ölüm senin için erken ölüm olacak. ",""
"KAPIYA BAKTIĞINDA","","SANA NASIL HİSSETTİRİYOR?","","NORMAL","","Ölüme karşı normal hislere sahipsin.","Ölümü kabulleniyor ama gölgesinde yaşayamıyorsun. Hem bugün ölecekmiş gibi hem de hiç ölmeyecekmiş gibi yaşıyorsun.",""
" ","","BU KAPIDAN İÇERİ GEÇMEK İSTİYOR MUSUN?","","EVET","","Ve sen bu kapıdan geçmek istedin. Bu da senin ölümden korkmadığını gösterir.","Sorumluluk duygun yüksek. Üzerine düşen her sorumluluğu yerine getirmeyi başarıyorsun. Yaşamının da sorumluluğu bir gün ölmek ve sen sorumluluk sahibisin. ",""
" ","","BU KAPIDAN İÇERİ GEÇMEK İSTİYOR MUSUN?","","HAYIR","","Ve sen bu kapıdan geçmek istemedin Bu da senin ölümden korktuğunu gösterir.","Hey bir dakika yeni geldik ya! Sorumluluk sahibi değilsin. Sorumluluktan kaçıyorsun. Ciddi ilişkilerden kaçtın, evlilikten, işlerinin sorumluluğundan. Ama ölüm nihai son, sıkıysa kaç. ",""
"YÜRÜMEYE DEVAM EDİYORSUN","","KARŞINA BİR KUTU ÇIKIYOR","","KUTUYU AÇ","","Sen kutuyu açmayı seçtin. Bu senin geçmişine ilgili olduğunu gösterir.","Geçmişinden kaçmıyor, onunla yüzleşme cesareti gösteriyorsun. Ondan ders çıkarıyorsun. Aynı hataları yapmak istemiyorsun. ",""
"YÜRÜMEYE DEVAM EDİYORSUN","","KARŞINA BİR KUTU ÇIKIYOR","","YÜRÜMEYE DEVAM ET","","Kutuyu açmadan yürümeye devam etmeyi seçtin. Bu senin geçmişe ilgili olmadığını gösterir.","Geçmişin hayal kırıklıkları ve pişmanlıkla dolu. Ve en iyi yolu ondan kaçmakta buluyorsun. ",""
"KUTUNUN KAPAĞINI AÇIYORSUN","","VE KUTUNUN İÇİNDEN KIRIK EŞYALAR ÇIKIYOR<br>YOLUNA DEVAM ETMELİSİN<br>BU EŞYALARI YANINDA GÖTÜRMEK İSTİYOR MUSUN?","","EVET","","Sen bu parçaları yanında götürmeyi seçtin. Yani senin geçmişteki anıların vazgeçilmezin.","Gereksiz anıları taşıyorsun. Pişmanlıklarını. Pişmanlıklarının gölgesinde yaşıyorsun. Seni üzdüğünü bildiğin halde bunları kendine yük etmekten geri durmuyorsun. Mazoşistsin. ",""
"KUTUNUN KAPAĞINI AÇIYORSUN","","VE KUTUNUN İÇİNDEN KIRIK EŞYALAR ÇIKIYOR<br>YOLUNA DEVAM ETMELİSİN<br>BU EŞYALARI YANINDA GÖTÜRMEK İSTİYOR MUSUN?","","HAYIR","","Sen bu parçaları yanında götürmek istemedin. Yani senin için geçmişteki anıların geçmişte kaldığıyla güzel.","Yaşandı ve bitti. İyi yada kötü. Yeni şeyler söylemek yeni şeyler yaşamak istiyorsun. Geçmişi kendine köstek yapmıyorsun. En azından güzel bir gelecek için anıları rafa kaldırıyorsun. Senin hayatında geçmişin pişmanlıklarına YER YOK. ",""
"YÜRÜMEYE DEVAM EDİYORSUN","","KARŞINA BİR BİLGE ÇIKIYOR<br>VE SANA SELAM VERİYOR","","BİLGENİN YANINA GİT","","NULL","NULL",""
" ","","<i>Merhaba. Bana bu ormanın bilgesi derler<br>ama bildiklerim benden değil bu ulu çınardan gelir.<br>Eğer dinlersen ulu çınarın sana söylemek istediği bir kaç şey var.</i>","","BİLGEYİ DİNLE","","NULL","NULL",""
" ","","<i>Merhaba. Bana bu ormanın bilgesi derler<br>ama bildiklerim benden değil bu ulu çınardan gelir.<br>Eğer dinlersen ulu çınarın sana söylemek istediği bir kaç şey var.</i>","","ALLAH VERSİN, BENİM ACELEM VAR","","NULL","NULL",""
"başlık 21","","yazı 21","","DEVAM ET","","NULL","NULL",""
"başlık 22","","yazı 22","","DEVAM ET","","NULL","NULL",""
"başlık 23","","yazı 23","","DEVAM ET","","NULL","NULL",""
"başlık 24","","yazı 24","","DEVAM ET","","NULL","NULL",""
"başlık 25","","yazı 25","","DEVAM ET","","NULL","NULL",""
"başlık 26","","yazı 26","","DEVAM ET","","NULL","NULL",""
"başlık 27","","yazı 27","","DEVAM ET","","NULL","NULL",""
" ","","<i>Ulu çınarın söylemek istedikleri bu kadardı. Burası çok güzel bir orman.<br>Umarım doğanın güzellikleri biraz olsun içini rahatlatmıştır.<br>Her neyse yolcu yolunda gerek. Kal sağlıcakla.</i> diyor bilge ve ağır ağır uzaklaşmaya başlıyor. Dilersen bu ufak maceranı arkadaşlarınla paylaşabilir veya bir tebessüm bırakıp gidebilirsin :) Hatta isetersen sadece gidebilisin de. Seçim senin.","","MACERANI PAYLAŞ","","NULL","NULL",""
" ","","<i>Ulu çınarın söylemek istedikleri bu kadardı. Burası çok güzel bir orman.<br>Umarım doğanın güzellikleri biraz olsun içini rahatlatmıştır.<br>Her neyse yolcu yolunda gerek. Kal sağlıcakla.</i> diyor bilge ve ağır ağır uzaklaşmaya başlıyor. Dilersen bu ufak maceranı arkadaşlarınla paylaşabilir veya bir tebessüm bırakıp gidebilirsin :) Hatta isetersen sadece gidebilisin de. Seçim senin.","","GÜLÜMSE VE GİT :)","","NULL","NULL",""
"YENİ BİR MACERADA GÖRÜŞMEK ÜZERE","","DİLERSEN BU UFAK MACERANI ARKADAŞLARINLA PAYLAŞABİLİR<br>VEYA SADECE GÜLÜMSEYİP GİDEBİLİRSİN.<br>HATTA İSTERSEN SADECE GİDEBİLİRSİN DE. SEÇİM SENİN.","","MACERANI PAYLAŞ","","NULL","NULL",""
"YENİ BİR MACERADA GÖRÜŞMEK ÜZERE","","DİLERSEN BU UFAK MACERANI ARKADAŞLARINLA PAYLAŞABİLİR<br>VEYA SADECE GÜLÜMSEYİP GİDEBİLİRSİN.<br>HATTA İSTERSEN SADECE GİDEBİLİRSİN DE. SEÇİM SENİN.","","GÜLÜMSE VE GİT :)","","NULL","NULL",""
"YENİ BİR MACERADA GÖRÜŞMEK ÜZERE","","DİLERSEN BU UFAK MACERANI ARKADAŞLARINLA PAYLAŞABİLİR<br>VEYA SADECE GÜLÜMSEYİP GİDEBİLİRSİN.<br>HATTA İSTERSEN SADECE GİDEBİLİRSİN DE. SEÇİM SENİN.","","SADECE GİT","","NULL","NULL",""
"ORMANDAN","","yazı 30","","MACERANI PAYLAŞ","","NULL","NULL",""
"ORMANDAN","","yazı 30","","BAŞA DÖN","","NULL","NULL",""
"baslik 0","","yazi 0","","ORMANA GİR","","NULL","NULL",""
"baslik 0","","yazi 0","","BAŞA DÖN","","NULL","NULL",""
"baslik 0","","yazi 0","","FİKRİM VAR !","","NULL","NULL",""
"baslik 0","","yazi 0","","PAYLAŞ","","NULL","NULL",""
"baslik 0","","yazi 0","","*logo yazı*","","NULL","NULL",""
"baslik 0","","yazi 0","","*logo resim*","","NULL","NULL",""
